Symbol;Position;Type;Open time;Open price;Close time;Close price;Profit;Net profit
USDJPY;1022408635;Sell Limit;18.07.2023 08:41:04;138.47;18.07.2023 10:07:52;138.169;8.61;8.61
EURJPY;1022406136;Sell Stop;18.07.2023 08:35:09;155.812;18.07.2023 09:24:48;155.909;-2.76;-2.76
USDCHF;1021244347;Sell Stop;17.07.2023 09:39:46;0.85995;17.07.2023 14:10:05;0.85976;0.88;0.88
EURUSD;1021244194;Buy Stop;17.07.2023 09:39:36;1.12365;17.07.2023 11:32:34;1.12352;-0.52;-0.52
EURJPY;1021290010;Buy Stop;17.07.2023 10:21:10;155.704;17.07.2023 10:33:45;155.596;-3.09;-3.09
GBPJPY;1021292012;Buy Stop;17.07.2023 10:22:23;181.445;17.07.2023 10:26:18;181.348;-2.77;-2.77
AUDUSD;1021245478;Sell;17.07.2023 09:40:26;0.68123;17.07.2023 10:22:35;0.68201;-3.09;-3.09
EURJPY;1021277387;Buy Stop;17.07.2023 10:11:32;155.789;17.07.2023 10:19:44;155.689;-2.86;-2.86
GBPUSD;1021183241;Sell Stop;17.07.2023 08:59:34;1.30806;17.07.2023 09:13:45;1.30907;-4;-4.00
AUDUSD;1020217891;Sell Stop;14.07.2023 14:59:54;0.68646;14.07.2023 15:57:49;0.68692;-1.82;-1.82
USDJPY;1019985433;Buy Stop;14.07.2023 10:57:24;138.35;14.07.2023 11:04:46;138.249;-2.89;-2.89
EURJPY;1019909620;Buy Limit;14.07.2023 09:37:06;155.056;14.07.2023 10:41:13;155.308;7.22;7.22
USDCAD;1019877523;Buy Stop;14.07.2023 09:08:57;1.31232;14.07.2023 10:00:00;1.31134;-2.97;-2.97
USDJPY;1019903684;Buy Stop;14.07.2023 09:31:19;138.343;14.07.2023 09:55:02;138.243;-2.87;-2.87
GBPUSD;1019863967;Sell Stop;14.07.2023 09:00:54;1.31038;14.07.2023 09:07:11;1.31141;-4.1;-4.10
USDCAD;1018663252;Sell;13.07.2023 09:38:32;1.31562;13.07.2023 10:28:26;1.31589;-0.82;-0.82
AUDUSD;1018661718;Buy;13.07.2023 09:37:44;0.68334;13.07.2023 10:28:26;0.68407;2.9;2.90
AUDJPY;1018662179;Buy;13.07.2023 09:37:56;94.525;13.07.2023 10:28:26;94.701;5.05;5.05
USDCHF;1018665218;Sell;13.07.2023 09:39:49;0.86495;13.07.2023 10:28:26;0.86308;8.61;8.61
EURJPY;1018595334;Buy Stop;13.07.2023 08:49:33;154.287;13.07.2023 08:50:55;154.187;-2.87;-2.87
AUDJPY;1018590036;Buy Stop;13.07.2023 08:41:23;94.575;13.07.2023 08:46:37;94.475;-2.87;-2.87
EURJPY;1018585555;Buy Stop;13.07.2023 08:34:47;154.42;13.07.2023 08:44:32;154.32;-2.87;-2.87
EURUSD;1017156530;Buy Stop;12.07.2023 09:01:50;1.10251;12.07.2023 11:03:05;1.10187;-2.58;-2.58
EURUSD;1017128140;Buy Stop;12.07.2023 08:36:45;1.1031;12.07.2023 08:56:31;1.10208;-4.11;-4.11
EURUSD;1016363277;Sell Stop;11.07.2023 15:27:04;1.0989;11.07.2023 18:50:26;1.0999;-4.04;-4.04
EURJPY;1016365700;Sell Stop;11.07.2023 15:28:53;154.506;11.07.2023 15:33:59;154.605;-2.85;-2.85
USDCHF;1016120942;Sell Stop;11.07.2023 12:09:01;0.88182;11.07.2023 14:14:49;0.8824;-2.67;-2.67
USDCHF;1015922947;Sell Stop;11.07.2023 09:29:28;0.88283;11.07.2023 11:55:18;0.88262;0.96;0.96
AUDUSD;1015964830;Sell Stop;11.07.2023 10:02:17;0.66711;11.07.2023 10:13:31;0.6682;-4.4;-4.40
GBPUSD;1015832293;Buy Stop;11.07.2023 08:39:14;1.28985;11.07.2023 08:56:30;1.28877;-4.35;-4.35
GBPJPY;1012865259;Sell Stop;07.07.2023 08:39:50;182.874;07.07.2023 08:41:48;182.924;-1.43;-1.43
USDCAD;1010646789;Buy;05.07.2023 15:36:04;1.32584;05.07.2023 20:33:28;1.32838;7.85;7.85
AUDJPY;1010569921;Sell Stop;05.07.2023 15:12:30;96.331;05.07.2023 15:23:52;96.433;-2.89;-2.89
USDCAD;1010169607;Buy Limit;05.07.2023 09:44:50;1.32487;05.07.2023 11:03:17;1.32737;7.69;7.69
USDJPY;1010079482;Buy;05.07.2023 08:52:55;144.663;05.07.2023 09:14:55;144.611;-1.46;-1.46
USDCHF;1010070519;Buy Stop;05.07.2023 08:45:37;0.8979;05.07.2023 09:13:55;0.8969;-4.53;-4.53
EURUSD;1010017516;Sell Stop;05.07.2023 07:30:07;1.08732;05.07.2023 07:57:33;1.08832;-4.08;-4.08

